"","age","female","married","employed","edu","ftotval","inctot","health"
"1",31,0,0,1,16,54000,54000,2
"2",21,0,0,0,12,34290,1022,3
"3",29,0,1,1,14,110000,30000,2
"4",34,1,1,1,12,85016,20008,2
"5",59,0,1,1,14,105337,70337,2
"6",21,1,0,0,14,260737,950,1
"7",38,1,1,1,14,97423,40125,1
"8",48,1,1,0,12,94416,14400,4
"9",62,1,1,1,14,107260,60010,3
"10",56,1,0,0,12,0,0,3
"11",25,0,0,1,12,62100,62100,1
"12",20,1,0,1,14,12402,12402,2
"13",51,0,0,1,12,1e+05,1e+05,2
"14",31,0,1,1,16,72000,36000,1
"15",56,1,0,1,12,89616,54614,2
"16",58,1,1,0,12,17807,2,1
"17",53,0,1,1,14,137522,58005,5
"18",51,1,0,1,16,130002,130002,4
"19",44,0,1,1,6,30000,30000,3
"20",29,1,0,0,14,0,0,1
"21",44,1,1,0,16,207640,38,2
"22",45,1,1,0,12,220180,17,2
"23",63,1,0,1,14,16960,16960,2
"24",43,1,1,1,16,190162,114081,1
"25",31,0,1,1,18,22918,14118,2
"26",32,0,1,0,12,27804,12000,2
"27",49,1,0,1,12,32000,14000,4
"28",56,1,1,0,11,69241,13286,4
"29",29,1,0,0,12,132290,0,4
"30",50,0,0,1,12,68812,68812,3
"31",57,1,0,0,18,18027,18027,1
"32",40,1,1,1,16,160653,91000,1
"33",30,1,0,1,14,45288,45288,1
"34",47,0,1,0,11,39200,7800,5
"35",50,1,1,0,21,55482,0,1
"36",36,0,1,1,14,241161,108037,1
"37",41,1,1,0,12,1e+05,0,2
"38",30,0,1,1,12,58050,57010,2
"39",46,0,1,1,14,74042,50038,2
"40",45,1,0,1,12,52202,30000,2
"41",53,1,1,1,18,182850,114830,3
"42",43,0,1,1,12,125368,69237,2
"43",40,1,0,1,12,24002,24002,2
"44",22,0,0,0,11,64800,4800,2
"45",64,1,1,1,18,67010,67010,3
"46",57,1,0,1,12,16000,16000,3
"47",32,0,1,1,14,102006,37003,1
"48",28,1,0,1,8,16596,2000,3
"49",30,1,0,1,14,34700,34700,2
"50",49,1,0,1,8,38188,10018,2
"51",38,0,1,1,14,123083,65008,1
"52",50,1,1,1,12,21041,-1990,1
"53",56,0,1,1,14,35997,22797,3
"54",63,0,1,1,19,74259,29259,3
"55",27,0,0,1,14,28000,28000,3
"56",50,0,0,1,18,1100999,1100999,1
"57",35,1,1,1,16,145525,55025,2
"58",22,0,1,1,14,125650,110000,3
"59",38,0,1,1,12,12104,722,1
"60",51,1,0,0,12,14796,8796,3
"61",36,1,1,1,16,129100,850,2
"62",41,1,0,1,16,126641,80320,3
"63",33,1,1,0,16,100200,100,2
"64",60,1,1,1,12,118598,64045,4
"65",60,0,1,0,12,74001,29000,4
"66",55,1,1,1,14,177308,10224,1
"67",32,0,1,0,14,0,0,1
"68",47,0,1,1,12,90040,45000,1
"69",56,1,0,0,14,7426,7426,4
"70",28,1,1,0,16,107002,1,2
"71",48,0,0,1,12,21200,21200,3
"72",26,0,0,1,16,45006,45006,1
"73",32,1,0,0,0,4,4,3
"74",33,1,1,0,9,30690,16610,3
"75",23,0,0,0,11,28782,2580,2
"76",35,1,1,1,12,75277,316,2
"77",37,0,1,0,12,31541,14000,3
"78",19,0,0,0,14,137516,2,2
"79",20,0,0,0,12,0,0,1
"80",60,0,0,1,19,47432,47432,3
"81",32,1,1,1,8,1004171,3848,3
"82",24,0,0,1,16,22000,22000,1
"83",22,0,1,1,14,20000,20000,2
"84",51,1,0,0,21,18200,18200,3
"85",29,1,0,1,14,30000,30000,2
"86",63,1,1,0,16,80465,0,1
"87",52,0,1,1,16,43210,41105,2
"88",52,1,1,1,16,481859,300169,1
"89",53,1,0,1,16,105389,105389,1
"90",47,0,1,1,19,677175,571021,1
"91",58,0,1,1,14,119317,72003,2
"92",57,1,1,0,12,17000,0,2
"93",44,1,1,1,18,72460,72460,1
"94",44,0,0,1,11,43788,18720,3
"95",24,0,0,0,12,105087,0,1
"96",41,0,1,1,14,97423,47245,3
"97",49,1,0,1,16,43325,43325,2
"98",36,1,1,0,9,19840,840,3
"99",19,1,1,1,12,30000,16000,3
"100",23,1,0,0,14,0,0,4
"101",54,0,1,1,12,71816,45008,2
"102",40,1,0,1,10,12000,12000,3
"103",37,1,1,1,21,140010,20005,1
"104",38,0,1,1,16,147125,100075,1
"105",62,1,0,0,14,20076,20076,3
"106",52,0,1,1,14,135000,65000,2
"107",21,1,0,0,12,139000,33000,1
"108",50,0,1,1,16,117000,72000,1
"109",24,1,0,1,16,48500,48500,2
"110",51,0,1,1,18,121545,121511,2
"111",53,0,0,1,14,40012,40012,2
"112",48,0,0,1,12,50884,42084,3
"113",20,0,0,0,14,40002,0,1
"114",43,0,0,0,12,0,0,2
"115",39,0,1,1,21,386650,307600,3
"116",26,1,0,1,11,35000,35000,3
"117",53,0,1,0,12,22930,12059,3
"118",64,1,1,0,14,68038,11813,2
"119",57,0,1,1,12,109360,45504,2
"120",39,0,0,0,12,57448,19392,3
"121",29,0,1,1,12,11319,1000,3
"122",61,1,0,0,12,93259,13259,3
"123",48,0,1,0,8,113200,45000,4
"124",21,0,0,0,12,155110,0,3
"125",35,0,1,1,21,150000,150000,4
"126",43,0,1,1,18,227363,120008,1
"127",47,1,1,0,10,41000,0,4
"128",28,1,0,1,14,10000,10000,4
"129",30,0,0,1,14,782051,32000,2
"130",28,0,0,0,12,56662,2,3
"131",49,1,1,1,14,76016,37008,2
"132",45,0,1,1,12,50105,50102,2
"133",32,0,1,1,14,95801,25001,1
"134",22,1,1,0,12,75000,0,5
"135",31,0,0,1,18,125000,125000,1
"136",63,1,1,0,12,90957,8,3
"137",28,0,0,1,12,112100,40600,1
"138",48,1,1,1,16,128667,29228,1
"139",29,0,0,1,14,48000,48000,2
"140",53,1,1,1,6,129008,40008,1
"141",40,0,1,1,6,43000,43000,3
"142",42,1,1,1,16,110564,4081,1
"143",38,0,1,1,16,163020,100010,1
"144",56,1,1,1,14,164487,24183,3
"145",42,0,0,0,16,0,0,4
"146",48,1,1,0,18,75048,30040,3
"147",49,1,1,1,16,150100,100050,1
"148",51,1,1,0,16,127200,0,3
"149",36,0,1,1,14,24000,14000,1
"150",58,1,0,0,12,15948,15948,5
"151",36,1,0,1,14,48001,48001,1
"152",46,0,1,1,12,216266,216145,2
"153",41,1,1,1,12,158179,78147,2
"154",34,0,1,0,18,68000,0,1
"155",58,1,1,1,12,156152,24076,3
"156",62,0,1,0,14,118240,118199,4
"157",44,0,1,1,12,68768,34568,4
"158",24,0,1,1,12,58445,15995,3
"159",30,0,1,1,16,106147,49022,3
"160",23,1,1,0,12,40150,0,1
"161",39,1,0,1,18,72000,72000,1
"162",40,0,1,1,16,207000,95000,2
"163",31,0,0,1,12,87069,87069,1
"164",24,0,0,1,14,130101,30002,1
"165",53,1,1,1,16,188203,130003,2
"166",48,1,0,1,18,41032,41032,2
"167",25,0,0,1,11,0,0,2
"168",43,0,0,1,12,243715,50000,2
"169",45,1,0,1,18,51110,51110,3
"170",32,0,1,1,12,28000,0,3
"171",24,1,0,1,16,62043,62043,2
"172",52,0,0,1,14,69000,69000,2
"173",44,1,1,1,12,141400,69400,3
"174",38,1,1,1,16,80233,21136,2
"175",46,0,0,1,12,30000,30000,3
"176",33,0,1,1,12,104000,40000,3
"177",49,1,1,0,16,79391,3065,4
"178",55,0,1,1,16,69680,40050,1
"179",61,1,0,1,14,37452,37452,1
"180",47,1,1,1,12,109267,39026,1
"181",38,1,1,1,12,102140,78600,2
"182",58,0,0,0,12,77337,18108,3
"183",19,0,0,0,14,62000,0,2
"184",45,1,1,1,12,74005,16000,2
"185",62,0,1,1,16,198463,78455,2
"186",57,0,0,1,9,46000,46000,1
"187",29,1,0,1,14,36000,36000,2
"188",52,1,1,1,12,51267,9767,5
"189",64,1,1,1,11,69200,25000,3
"190",25,1,0,1,14,24500,24500,3
"191",55,0,1,1,12,43000,43000,2
"192",63,1,0,0,14,18688,18688,3
"193",47,0,1,0,16,150230,15115,1
"194",29,1,1,0,14,1024,1024,3
"195",49,1,1,1,14,119821,39400,2
"196",57,1,1,1,16,146982,30796,1
"197",59,0,0,1,16,18000,18000,3
"198",38,1,1,1,14,152311,120162,3
"199",34,0,1,1,12,31875,30000,3
"200",49,1,1,1,16,148000,30000,3
"201",55,0,1,1,16,60000,60000,1
"202",55,0,1,1,12,32000,32000,3
"203",60,1,0,1,18,89616,35002,3
"204",36,1,1,1,14,74200,20050,3
"205",37,0,0,1,12,84035,84035,1
"206",27,0,1,0,9,47350,37600,1
"207",52,0,1,1,14,107177,45510,3
"208",39,1,1,0,16,35840,15840,3
"209",39,0,1,1,16,88328,50005,1
"210",35,0,1,1,16,130000,92000,3
"211",31,0,0,1,18,27670,27670,3
"212",58,0,1,1,9,93049,38049,2
"213",50,1,1,0,12,2688,2688,5
"214",23,1,0,1,14,36000,36000,1
"215",57,1,1,1,14,66600,41600,1
"216",47,1,1,0,19,68355,68355,2
"217",27,1,1,1,14,69120,24060,3
"218",30,1,0,1,18,46520,46520,1
"219",43,1,0,1,16,25138,25138,1
"220",22,0,0,0,14,5540,2540,4
"221",25,1,0,1,14,262300,28000,2
"222",53,1,0,0,12,82960,27960,5
"223",57,1,0,0,10,29044,0,5
"224",23,1,0,1,16,191650,26700,1
"225",27,1,0,1,12,35000,35000,3
"226",23,0,0,0,14,85000,17000,3
"227",20,0,0,0,10,57505,8772,4
"228",21,0,0,0,14,255020,0,2
"229",41,0,1,1,18,200080,200040,1
"230",32,0,0,1,14,41600,41600,2
"231",35,0,1,1,12,78162,40162,1
"232",34,1,1,1,18,99090,34030,3
"233",25,0,0,1,14,33601,33601,1
"234",53,1,0,0,12,22070,91,3
"235",34,1,0,1,12,30000,15000,1
"236",53,0,1,1,12,59063,35063,4
"237",31,1,1,1,21,158520,96020,1
"238",54,0,0,1,14,55700,55700,3
"239",58,0,1,1,16,97770,79000,1
"240",39,1,0,0,12,8321,8321,3
"241",31,0,0,1,12,60000,30000,2
"242",54,0,0,0,12,36955,36955,4
"243",32,1,0,1,16,55500,24000,2
"244",55,0,0,1,14,58020,58020,2
"245",47,0,1,1,14,198105,150553,1
"246",59,0,1,1,16,47000,7000,3
"247",32,0,1,1,12,123056,90028,2
"248",38,0,0,1,19,50005,50005,1
"249",61,0,0,1,14,31105,31105,3
"250",49,1,0,1,12,19000,19000,1
"251",57,1,0,1,18,29607,29607,2
"252",52,1,0,1,16,85804,65004,1
"253",48,0,0,0,12,0,0,2
"254",46,1,1,0,12,35000,0,3
"255",52,1,1,1,16,52920,42179,1
"256",20,1,0,0,12,239070,5000,2
"257",25,0,0,1,12,120002,62002,3
"258",43,0,1,0,12,70464,60462,3
"259",49,0,0,1,16,10000,10000,4
"260",48,1,1,0,14,152710,14291,5
"261",46,1,1,1,16,550009,50003,1
"262",27,1,0,1,14,30100,30100,2
"263",26,1,0,0,12,11000,11000,1
"264",46,1,1,0,11,25000,0,2
"265",27,0,0,1,18,140001,140001,2
"266",28,0,1,1,12,35009,35007,2
"267",34,1,0,1,14,17070,17070,4
"268",26,0,1,1,14,30000,15000,3
"269",34,1,1,1,14,65746,636,2
"270",51,0,0,0,12,10680,10680,4
"271",20,1,0,0,14,149662,7530,1
"272",46,0,1,1,16,102171,55101,2
"273",29,1,1,1,16,204300,13250,2
"274",27,0,1,1,12,150120,85040,1
"275",28,1,0,1,16,59747,8000,2
"276",46,0,1,1,18,160653,69653,1
"277",45,0,1,1,12,80003,80003,2
"278",35,1,0,1,9,7796,7796,4
"279",30,1,1,1,12,94040,62020,1
"280",21,0,0,1,14,59000,19000,2
"281",34,1,0,1,16,55000,55000,1
"282",53,1,1,1,16,95416,83001,3
"283",22,0,0,1,14,169651,3886,4
"284",50,1,1,1,12,52253,18000,2
"285",59,0,1,1,14,70000,70000,2
"286",43,1,0,1,18,70070,70070,3
"287",29,0,0,1,12,27000,27000,1
"288",61,0,1,0,18,205082,105040,3
"289",32,1,1,1,16,15000,7000,1
